attack,target_type,nationality,weapon
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Unknown,Government (General),Angola,Unknown
Assassination,Government (General),Peru,Firearms
Bombing/Explosion,Business,Great Britain,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Business,Colombia,Firearms
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Peru,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Armed Assault,Private Citizens & Property,Peru,Firearms
Assassination,Religious Figures/Institutions,India,Unknown
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Unknown,Private Citizens & Property,Angola,Unknown
Armed Assault,Religious Figures/Institutions,India,Firearms
Armed Assault,Government (Diplomatic),United States,Firearms
Facility/Infrastructure Attack,Government (General),Sudan,Unknown
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Business,Nicaragua,Firearms
Armed Assault,Government (General),Peru,Firearms
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Peru,Explosives/Bombs/Dynamite
Assassination,Military,El Salvador,Firearms
Assassination,Government (General),India,Unknown
Assassination,Terrorists/Non-State Militia,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Chile,Explosives/Bombs/Dynamite
Armed Assault,Police,Bangladesh,Firearms
Unknown,Military,Philippines,Unknown
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Syria,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Paraguay,Explosives/Bombs/Dynamite
Unknown,Business,India,Unknown
Armed Assault,Military,Sri Lanka,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)"
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Sri Lanka,Unknown
Assassination,Police,India,Firearms
Assassination,Military,Sri Lanka,Firearms
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Military,Israel,Incendiary
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Iran,Firearms
Assassination,Private Citizens & Property,India,Firearms
Armed Assault,Airports & Aircraft,United States,Firearms
Facility/Infrastructure Attack,Religious Figures/Institutions,Greece,Incendiary
Bombing/Explosion,Military,Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Hostage Taking (Barricade Incident),Telecommunication,Peru,Firearms
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Peru,Firearms
Bombing/Explosion,Military,Venezuela,Firearms
Assassination,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Armed Assault,Police,Greece,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Private Citizens & Property,El Salvador,Firearms
Armed Assault,Religious Figures/Institutions,India,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Assassination,Government (General),India,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Police,Peru,Explosives/Bombs/Dynamite
Hostage Taking (Barricade Incident),Journalists & Media,Lebanon,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Unknown,Private Citizens & Property,Sri Lanka,Unknown
Assassination,Business,Guatemala,Firearms
Assassination,Private Citizens & Property,Guatemala,Unknown
Bombing/Explosion,Abortion Related,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Argentina,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Colombia,Firearms
Hostage Taking (Barricade Incident),Educational Institution,Colombia,Firearms
Assassination,Police,Colombia,Firearms
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Unknown,Military,Sri Lanka,Unknown
Assassination,Government (General),Colombia,Firearms
Assassination,Military,Israel,Melee
Bombing/Explosion,Business,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Telecommunication,Chile,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Chile,Incendiary
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Tourists,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Honduras,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Nicaragua,Firearms
Bombing/Explosion,Business,Peru,Unknown
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Sri Lanka,Incendiary
Assassination,Government (General),El Salvador,Firearms
Assassination,Police,Peru,Unknown
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Assassination,Government (General),Guatemala,Unknown
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Abortion Related,United States,Incendiary
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),France,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Pakistan,Explosives/Bombs/Dynamite
Unknown,Religious Figures/Institutions,Israel,Unknown
Unknown,Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Netherlands,Incendiary
Facility/Infrastructure Attack,Business,Netherlands,Incendiary
Facility/Infrastructure Attack,Business,Netherlands,Incendiary
Bombing/Explosion,Business,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Finland,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Peru,Explosives/Bombs/Dynamite
Assassination,Business,Northern Ireland,Firearms
Bombing/Explosion,Military,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Nicaragua,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Nicaragua,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Unknown,Terrorists/Non-State Militia,Philippines,Unknown
Bombing/Explosion,Private Citizens & Property,Philippines,Explosives/Bombs/Dynamite
Unknown,Military,Spain,Unknown
Assassination,Military,Spain,Firearms
Bombing/Explosion,Utilities,Kuwait,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Great Britain,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,Guatemala,Firearms
Unknown,Government (General),Guatemala,Unknown
Armed Assault,Military,Guatemala,Firearms
Bombing/Explosion,Military,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Armed Assault,Military,Peru,Firearms
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,El Salvador,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Italy,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Terrorists/Non-State Militia,Japan,Incendiary
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Police,Spain,Firearms
Unknown,Military,Sri Lanka,Unknown
Assassination,Police,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Incendiary
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Peru,Incendiary
Armed Assault,Religious Figures/Institutions,India,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,Nicaragua,Firearms
Assassination,Police,India,Unknown
Assassination,Police,Peru,Firearms
Assassination,Police,Peru,Unknown
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Iraq,Explosives/Bombs/Dynamite
Armed Assault,Business,Colombia,Firearms
Armed Assault,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Sri Lanka,Unknown
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Peru,Explosives/Bombs/Dynamite
Assassination,Business,,Unknown
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Egypt,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Journalists & Media,Greece,Incendiary
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Honduras,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Firearms
Assassination,Business,Colombia,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,France,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Great Britain,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Italy,Firearms
Hostage Taking (Barricade Incident),Journalists & Media,Germany,Firearms
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Hostage Taking (Barricade Incident),Telecommunication,Chile,Unknown
Hostage Taking (Barricade Incident),Telecommunication,Chile,Unknown
Armed Assault,Military,Colombia,Firearms
Bombing/Explosion,Tourists,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Chile,Incendiary
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Peru,Firearms
Hostage Taking (Kidnapping),Government (General),South Africa,Unknown
Bombing/Explosion,Airports & Aircraft,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Soviet Union,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Hungary,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Netherlands,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Assassination,Government (General),El Salvador,Firearms
Assassination,Private Citizens & Property,Peru,Melee
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Armed Assault,Police,Ecuador,Firearms
Bombing/Explosion,Military,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Peru,Incendiary
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Colombia,Firearms
Armed Assault,Military,Peru,Firearms
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,South Africa,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,South Africa,Incendiary
Bombing/Explosion,Food or Water Supply,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Greece,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Israel,Explosives/Bombs/Dynamite
Assassination,Government (General),Panama,Unknown
Unknown,Military,Israel,Unknown
Armed Assault,Military,Peru,Firearms
Unknown,Military,Philippines,Unknown
Assassination,Private Citizens & Property,Libya,Firearms
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Unknown
Bombing/Explosion,Business,Chile,Unknown
Bombing/Explosion,Business,Chile,Unknown
Bombing/Explosion,Business,Chile,Unknown
Armed Assault,Religious Figures/Institutions,Colombia,Firearms
Armed Assault,Religious Figures/Institutions,Colombia,Firearms
Unknown,Transportation,Mozambique,Unknown
Facility/Infrastructure Attack,Private Citizens & Property,South Africa,Incendiary
Assassination,Private Citizens & Property,India,Unknown
Assassination,Military,Northern Ireland,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Melee
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Chile,Explosives/Bombs/Dynamite
Assassination,Police,Peru,Unknown
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Armed Assault,Military,Peru,Firearms
Armed Assault,Military,Philippines,Unknown
Unknown,Police,Philippines,Unknown
Assassination,Private Citizens & Property,India,Unknown
Assassination,Military,Peru,Unknown
Bombing/Explosion,Government (General),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Peru,Explosives/Bombs/Dynamite
Bombing/Explosion,Airports & Aircraft,Peru,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Bombing/Explosion,Police,Chile,Explosives/Bombs/Dynamite
Assassination,Government (General),Peru,Unknown
Assassination,Government (General),Peru,Unknown
Bombing/Explosion,Government (Diplomatic),Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),China,Explosives/Bombs/Dynamite
Armed Assault,Military,El Salvador,Firearms
Hostage Taking (Kidnapping),Military,El Salvador,Firearms
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,El Salvador,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Government (General),South Africa,Firearms
Bombing/Explosion,Police,South Africa,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,NGO,France,Explosives/Bombs/Dynamite
Armed Assault,Business,Colombia,Firearms
Armed Assault,Business,Guatemala,Firearms
Armed Assault,Military,Nicaragua,Firearms
Assassination,Government (General),Peru,Unknown
Unknown,Police,South Africa,Unknown
Bombing/Explosion,Transportation,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Armed Assault,Military,Nicaragua,Firearms
Unknown,Private Citizens & Property,Peru,Unknown
Assassination,Government (General),Peru,Firearms
Armed Assault,Police,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Assassination,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Business,Iran,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,Syria,Explosives/Bombs/Dynamite
Bombing/Explosion,Maritime,Chile,Unknown
Bombing/Explosion,Police,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Germany,Explosives/Bombs/Dynamite
